Headline,Publication,Summary,Date
Eerste Kamer stemt in met invoering Omgevingswet,"NRC Handelsblad, BINNENLAND; Blz. 10, 530 words",,12/2/2020
Deventer maakt het makkelijker en brengt ruim 100 bestemmingsplannen terug naar ééntje,"AD/Algemeen Dagblad.nl, 220 words",,18/2/2020
Oisterwijk is aan het eind van het jaar blut: nieuw beleid zit er niet in,"AD/Algemeen Dagblad.nl, 360 words",,21/2/2020
Tachtig ontwikkelaars melden zich voor bouw van villawijk in Dordrecht,"AD/Algemeen Dagblad.nl, 418 words",,21/2/2020
Een kaste van loyale vlekverwijderaars Zolang de minister maar niet struikelt Topambtenaren zijn vaker loyaal dan deskundig.Ze zijn vooral bezig hun minister uit de wind te houden.,"NRC Handelsblad, VOORPAGINA; Blz. 1, 2842 words",,22/2/2020
Een kaste van loyale vlekverwijderaars Zolang de minister maar niet struikelt Topambtenaren zijn vaker loyaal dan deskundig.Ze zijn vooral bezig hun minister uit de wind te houden.,"NRC.NEXT, VOORPAGINA; Blz. 1, 2842 words",,22/2/2020
‘Zorgvuldig omgaan met dit mooie gebied in Sint-Oedenrode’,"AD/Algemeen Dagblad.nl, 653 words",,27/2/2020
Titatoverformule van gemeente,"De Telegraaf, REGIO; Blz. 05, 1458 words",,27/2/2020
Midden-Delfland komt vele miljoenen tekort: bewoners en bieb gaan pijn voelen r,"AD/Algemeen Dagblad.nl, 331 words",,28/2/2020
Vijf vragen over hoe op Binckhorst het proefje met de Omgevingswet ontplofte,"AD/Algemeen Dagblad.nl, 627 words",,4/3/2020
Alle handen in Hellevoet omhoog voor de fusie met Westvoorne en Brielle,"AD/Algemeen Dagblad.nl, 658 words",,6/3/2020
Vergunning van omgevingsdienst ODRN wordt duurder,"AD/Algemeen Dagblad.nl, 417 words",,10/3/2020
Gemeenten Zuidoost-Brabant weten niet goed wat milieudienst Odzob doet,"AD/Algemeen Dagblad.nl, 449 words",,20/3/2020
Opinie: Burgers moeten lokaal beleid kunnen bijsturen!r,"AD/Algemeen Dagblad.nl, 558 words",,21/3/2020
"Parkeergarage Kempering in de Bijlmer wordt gesloopt, maar blijft ook een beetje bestaan","De Volkskrant.nl, 901 words",,30/3/2020
"Parkeergarage Kempering in de Bijlmer wordt gesloopt, maar blijft ook een beetje bestaan","de Volkskrant, V; Blz. 3, 815 words",,31/3/2020
Voor de bouw hadde crisis één voordeel,"NRC.NEXT, ECONOMIE; Blz. 4, 845 words",,31/3/2020
Voor de bouw hadde crisis één voordeel,"NRC Handelsblad, ECONOMIE; Blz. 4, 865 words",,31/3/2020
Kabinet kan coronacrisis ookbenutten,"NRC.NEXT, BINNENLAND; Blz. 14, 986 words",,31/3/2020
